iso,unix,id,motive_x,motive_y,motive_z,motive_vx,motive_vy,motive_vz,motive_ax,motive_ay,motive_az,motiveSlow_x,motiveSlow_y,motiveSlow_z,motiveSlow_vx,motiveSlow_vy,motiveSlow_vz,motiveSlow_ax,motiveSlow_ay,motiveSlow_az,atlas_x,atlas_y,atlas_z,atlas_vx,atlas_vy,atlas_vz,atlas_ax,atlas_ay,atlas_az,odom_x,odom_y,odom_z,odom_vx,odom_vy,odom_vz,odom_ax,odom_ay,odom_az,motive_roll,motive_pitch,motive_yaw,motive_qx,motive_qy,motive_qz,motive_qw,odom_roll,odom_pitch,odom_yaw,odom_qx,odom_qy,odom_qz,odom_qw,way_x,way_y,way_z,way_a,pos_ox,pos_oy,pos_lx,pos_ly,pos_px,pos_py,pos_ix,pos_iy,pos_dx,pos_dy,vel_ox,vel_oy,vel_lx,vel_ly,vel_px,vel_py,vel_ix,vel_iy,vel_dx,vel_dy,
2017-02-12_16-31-44,1486917104.443220,1,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2017-02-12_16-31-44,1486917104.444501,1,1.131,0.165,0.966,-0.0054,0.0479,0.0331,0.0465,0.1402,0.0268,1.131,0.164,0.965,-0.0019,0.0450,0.0317,0.1109,-0.0145,-0.0368,1.140,0.290,1.276,0.0420,0.1987,0.2519,0.0000,0.0000,0.0000,-0.035,0.060,0.910,-0.0092,0.0165,0.0793,0.0000,0.0000,0.0000,0.0072,-0.0077,-0.0212,-0.0038,0.0036,-0.0106,-0.9999,0.0168,-0.0093,-0.0181,0.0045,-0.0084,0.0090,0.9999,1.200,1.800,1.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2017-02-12_16-31-44,1486917104.454556,1,1.131,0.165,0.966,-0.0054,0.0479,0.0331,0.0465,0.1402,0.0268,1.131,0.164,0.965,-0.0019,0.0450,0.0317,0.1109,-0.0145,-0.0368,1.140,0.290,1.276,0.0420,0.1987,0.2519,0.0000,0.0000,0.0000,-0.035,0.060,0.910,-0.0092,0.0165,0.0793,0.0000,0.0000,0.0000,0.0072,-0.0077,-0.0212,-0.0038,0.0036,-0.0106,-0.9999,0.0168,-0.0093,-0.0181,0.0045,-0.0084,0.0090,0.9999,1.200,1.800,1.000,0.000,0.036096,0.905950,0.015925,0.399683,0.036096,0.905950,0.000000,0.000000,0.000000,0.000000,0.010044,0.153288,0.010044,0.153288,0.010044,0.153288,0.000000,0.000000,0.000000,0.000000,
2017-02-12_16-31-44,1486917104.464566,1,1.131,0.166,0.966,-0.0027,0.0446,0.0320,0.2623,-0.3301,-0.1115,1.131,0.164,0.965,-0.0019,0.0450,0.0317,0.1109,-0.0145,-0.0368,1.139,0.286,1.274,0.0372,0.1807,0.2455,0.0000,0.0000,0.0000,-0.035,0.060,0.910,-0.0092,0.0165,0.0793,0.0000,0.0000,0.0000,0.0072,-0.0077,-0.0212,-0.0038,0.0036,-0.0106,-0.9999,0.0168,-0.0093,-0.0181,0.0045,-0.0084,0.0090,0.9999,1.200,1.800,1.000,0.000,0.036096,0.905950,0.015925,0.399683,0.036096,0.905950,0.000000,0.000000,0.000000,0.000000,0.010546,0.160953,0.010546,0.160953,0.010044,0.153288,0.000000,0.000000,0.000502,0.007664,
2017-02-12_16-31-44,1486917104.474571,1,1.131,0.166,0.966,-0.0015,0.0461,0.0347,0.1240,0.1481,0.2658,1.131,0.166,0.966,-0.0039,0.0463,0.0332,-0.0478,0.0322,0.0355,1.134,0.282,1.267,0.0232,0.1625,0.2304,0.0000,0.0000,0.0000,-0.035,0.060,0.910,-0.0092,0.0165,0.0793,0.0000,0.0000,0.0000,0.0075,-0.0077,-0.0212,-0.0038,0.0038,-0.0106,-0.9999,0.0168,-0.0093,-0.0181,0.0045,-0.0084,0.0090,0.9999,1.200,1.800,1.000,0.000,0.036751,0.908432,0.016169,0.399673,0.036751,0.908432,0.000000,0.000000,0.000000,0.000000,0.010644,0.160949,0.010644,0.160949,0.010142,0.153285,0.000000,0.000000,0.000502,0.007664,
2017-02-12_16-31-44,1486917104.484568,1,1.131,0.167,0.967,-0.0030,0.0449,0.0325,-0.5388,-0.0635,0.0894,1.131,0.166,0.966,-0.0039,0.0463,0.0332,-0.0478,0.0322,0.0355,1.134,0.282,1.267,0.0232,0.1625,0.2304,0.0000,0.0000,0.0000,-0.035,0.060,0.910,-0.0092,0.0165,0.0793,0.0000,0.0000,0.0000,0.0085,-0.0078,-0.0213,-0.0038,0.0043,-0.0106,-0.9999,0.0168,-0.0093,-0.0181,0.0045,-0.0084,0.0090,0.9999,1.200,1.800,1.000,0.000,0.039445,0.911088,0.017302,0.399626,0.039445,0.911088,0.000000,0.000000,0.000000,0.000000,0.011102,0.160930,0.011102,0.160930,0.010595,0.153266,0.000000,0.000000,0.000507,0.007664,
2017-02-12_16-31-44,1486917104.494538,1,1.131,0.167,0.967,-0.0046,0.0450,0.0315,-0.1609,0.0149,-0.0960,1.131,0.166,0.966,-0.0039,0.0463,0.0332,-0.0478,0.0322,0.0355,1.135,0.277,1.253,0.0272,0.1468,0.2048,0.0000,0.0000,0.0000,-0.035,0.060,0.910,-0.0092,0.0165,0.0793,0.0000,0.0000,0.0000,0.0089,-0.0078,-0.0214,-0.0039,0.0045,-0.0107,-0.9999,0.0168,-0.0093,-0.0181,0.0045,-0.0084,0.0090,0.9999,1.200,1.800,1.000,0.000,0.039445,0.911088,0.017302,0.399626,0.039445,0.911088,0.000000,0.000000,0.000000,0.000000,0.011125,0.160929,0.011125,0.160929,0.010595,0.153266,0.000000,0.000000,0.000530,0.007663,
2017-02-12_16-31-44,1486917104.504533,1,1.131,0.168,0.967,-0.0076,0.0433,0.0331,-0.2933,-0.1736,0.1597,1.131,0.168,0.967,-0.0032,0.0447,0.0322,0.0163,-0.0407,-0.0248,1.135,0.277,1.253,0.0272,0.1468,0.2048,0.0000,0.0000,0.0000,-0.035,0.060,0.910,-0.0092,0.0165,0.0793,0.0000,0.0000,0.0000,0.0091,-0.0079,-0.0215,-0.0039,0.0046,-0.0107,-0.9999,0.0168,-0.0093,-0.0181,0.0045,-0.0084,0.0090,0.9999,1.200,1.800,1.000,0.000,0.039151,0.913590,0.017126,0.399633,0.039151,0.913590,0.000000,0.000000,0.000000,0.000000,0.011054,0.160932,0.011054,0.160932,0.010525,0.153269,0.000000,0.000000,0.000530,0.007663,
2017-02-12_16-31-44,1486917104.514557,1,1.131,0.168,0.968,-0.0052,0.0444,0.0282,0.2313,0.1070,-0.4888,1.131,0.168,0.967,-0.0032,0.0447,0.0322,0.0163,-0.0407,-0.0248,1.129,0.275,1.246,0.0103,0.1346,0.1905,0.0000,0.0000,0.0000,-0.035,0.060,0.910,-0.0092,0.0165,0.0793,0.0000,0.0000,0.0000,0.0091,-0.0078,-0.0217,-0.0039,0.0046,-0.0108,-0.9999,0.0168,-0.0093,-0.0181,0.0045,-0.0084,0.0090,0.9999,1.200,1.800,1.000,0.000,0.039151,0.913590,0.017126,0.399633,0.039151,0.913590,0.000000,0.000000,0.000000,0.000000,0.011051,0.160932,0.011051,0.160932,0.010525,0.153269,0.000000,0.000000,0.000526,0.007663,
2017-02-12_16-31-44,1486917104.524554,1,1.131,0.169,0.968,-0.0025,0.0452,0.0317,0.2766,0.0864,0.3517,1.131,0.168,0.967,-0.0032,0.0447,0.0322,0.0163,-0.0407,-0.0248,1.125,0.272,1.238,-0.0019,0.1211,0.1755,0.0000,0.0000,0.0000,-0.035,0.060,0.910,-0.0092,0.0165,0.0793,0.0000,0.0000,0.0000,0.0091,-0.0079,-0.0217,-0.0039,0.0046,-0.0108,-0.9999,0.0168,-0.0093,-0.0181,0.0045,-0.0084,0.0090,0.9999,1.200,1.800,1.000,0.000,0.042390,0.914740,0.018516,0.399571,0.042390,0.914740,0.000000,0.000000,0.000000,0.000000,0.011607,0.160907,0.011607,0.160907,0.011081,0.153244,0.000000,0.000000,0.000526,0.007663,
